(1, 0, 0.0)
(2, 1, 0.0)
(3, 1, 0.0)
(4, 2, 0.0)
(5, 3, 0.0)
(6, 5, 0.0)
(7, 8, 0.00099945068359375)
(8, 13, 0.0)
(9, 21, 0.0)
(10, 34, 0.0)
(11, 55, 0.0)
(12, 89, 0.0)
(13, 144, 0.0)
(14, 233, 0.000446319580078125)
(15, 377, 0.0009963512420654297)
(16, 610, 0.0009968280792236328)
(17, 987, 0.0014505386352539062)
(18, 1597, 0.0013136863708496094)
(19, 2584, 0.0012507438659667969)
(20, 4181, 0.0035490989685058594)
(21, 6765, 0.003902435302734375)
(22, 10946, 0.0070455074310302734)
(23, 17711, 0.01167154312133789)
(24, 28657, 0.01717853546142578)
(25, 46368, 0.03723430633544922)
(26, 75025, 0.029280424118041992)
(27, 121393, 0.05958747863769531)
(28, 196418, 0.11295080184936523)
(29, 317811, 0.24161458015441895)
(30, 514229, 0.3501574993133545)
(31, 832040, 0.5385911464691162)
(32, 1346269, 1.2695512771606445)
(33, 2178309, 1.5717575550079346)
(34, 3524578, 2.544705867767334)
(35, 5702887, 3.634564161300659)
(36, 9227465, 5.67706561088562)
(37, 14930352, 9.729046106338501)
(38, 24157817, 14.927784204483032)
(39, 39088169, 24.031848907470703)
(40, 63245986, 37.60745644569397)
(41, 102334155, 63.29808497428894)
(42, 165580141, 101.56110215187073)
(43, 267914296, 161.56611609458923)
(44, 433494437, 235.62208032608032)
(45, 701408733, 3093.9950835704803)
